carat,price,price_log,cut,clarity,color
0.2,365.1666666666667,5.900353870367412,4.166666666666667,3.8333333333333335,6.166666666666667
0.21,380.22222222222223,5.94075587711592,3.888888888888889,3.6666666666666665,6.444444444444445
0.22,391.4,5.969730054961976,3.4,3.6,5.8
0.23,486.14334470989763,6.186503528374646,3.255972696245734,5.901023890784983,5.51877133105802
0.24,505.18503937007875,6.224924776756142,3.5551181102362204,5.97244094488189,5.18503937007874
0.25,550.9245283018868,6.3115978275424816,3.6556603773584904,5.85377358490566,5.14622641509434
0.26,550.897233201581,6.311548282141827,3.8853754940711465,5.723320158102767,4.928853754940712
0.27,574.7596566523605,6.353951964985159,4.008583690987124,5.7296137339055795,5.047210300429184
0.28,580.1212121212121,6.363237068121729,3.823232323232323,5.7272727272727275,4.898989898989899
0.29,601.1923076923077,6.39891486287399,3.776923076923077,5.638461538461539,4.776923076923077
0.3,680.3018433179724,6.522536586913671,4.088325652841782,4.951612903225806,4.605222734254992
0.31,708.2356602934638,6.562776891832117,4.217429968875056,4.919964428634949,4.622498888394842
0.32,720.1440217391304,6.579451222199966,4.327173913043478,4.817934782608695,4.567934782608695
0.33,765.7317073170732,6.640831856843902,4.357443229604709,5.053826745164003,4.569386038687973
0.34,756.3802197802198,6.6285441859667245,4.304395604395604,4.562637362637362,4.746153846153846
0.35,800.6761619190405,6.6854565730843145,4.302848575712144,4.764617691154423,4.830584707646177
0.36,781.3811188811189,6.661063019136201,4.318181818181818,4.358391608391608,4.9527972027972025
0.37,816.0710659898477,6.704501441845768,4.149746192893401,4.50507614213198,4.873096446700508
0.38,904.4417910447761,6.807317947921786,4.304477611940299,4.7298507462686565,4.722388059701492
0.39,922.3316582914573,6.826904875025505,4.045226130653266,4.959798994974874,4.474874371859296
0.4,932.7844495765974,6.8381741447632285,3.9591993841416473,4.589684372594303,4.83679753656659
0.41,973.6273516642547,6.881028634606825,4.125904486251809,4.633863965267728,4.819102749638206
0.42,994.4447592067988,6.902184550453435,4.296033994334278,4.6076487252124645,4.81586402266289
0.43,995.1926229508197,6.902936309327638,4.114754098360656,4.44672131147541,4.709016393442623
0.44,1056.622641509434,6.962832913148585,4.132075471698113,4.669811320754717,4.617924528301887
0.45,1093.3181818181818,6.996972554520929,3.5727272727272728,4.8545454545454545,4.4
0.46,1237.5337078651685,7.120875732750803,3.842696629213483,4.865168539325842,4.595505617977528
0.47,1272.3131313131314,7.1485918860205935,3.7474747474747474,4.484848484848484,4.484848484848484
0.48,1322.047619047619,7.186937040222531,3.634920634920635,4.492063492063492,4.365079365079365
0.49,1306.3333333333333,7.174979509531521,3.533333333333333,3.888888888888889,4.955555555555556
0.5,1504.4586645468999,7.31618842114757,3.5659777424483305,4.046899841017488,5.111287758346582
0.51,1624.408163265306,7.392898821202929,4.015971606033718,4.203194321206744,5.081632653061225
0.52,1655.577723378213,7.411905304467681,4.208078335373317,4.291309669522644,4.9559363525091795
0.53,1683.5458392101552,7.428657466748501,4.273624823695346,4.294781382228491,4.8885754583921015
0.54,1703.88,7.440663282374267,4.3152,4.3296,4.808
0.55,1725.4415322580646,7.453238257442414,4.350806451612903,4.213709677419355,4.850806451612903
0.56,1831.9979674796748,7.513162435779134,4.3861788617886175,4.412601626016261,5.016260162601626
0.57,1796.3232558139534,7.493497219199893,4.248837209302326,4.232558139534884,4.872093023255814
0.58,1798.6483870967743,7.494790765763255,4.2,4.212903225806452,4.780645161290322
0.59,1831.450354609929,7.5128634754413985,4.056737588652482,4.170212765957447,4.826241134751773
0.6,1949.811403508772,7.5754879307311365,4.0394736842105265,4.1535087719298245,4.982456140350878
0.61,2069.2450980392155,7.634939132807385,4.0588235294117645,4.544117647058823,4.686274509803922
0.62,1973.3703703703704,7.58749820780258,3.9925925925925925,4.348148148148148,4.562962962962963
0.63,2244.7843137254904,7.716364721496577,4.078431372549019,4.53921568627451,4.852941176470588
0.64,2113.5875,7.65614201967033,3.9125,4.25,4.8625
0.65,2322.6153846153848,7.750449150666145,3.8923076923076922,4.723076923076923,4.707692307692308
0.66,2235.7291666666665,7.7123227029078745,3.8125,4.375,4.666666666666667
0.67,2067.8541666666665,7.6342667141217495,3.0833333333333335,4.208333333333333,4.375
0.68,2334.32,7.755475907133311,3.32,4.36,4.64
0.69,2206.6153846153848,7.699215120392622,3.076923076923077,4.115384615384615,4.153846153846154
0.7,2516.0716809692076,7.830454107465852,3.4896516910651187,3.795557799091368,4.5487127713276125
0.71,2672.7805255023186,7.890874604837582,3.82225656877898,3.9234930448222567,4.540185471406492
0.72,2705.778795811518,7.903145059569524,4.043193717277487,3.9214659685863875,4.383507853403142
0.73,2791.2479674796746,7.934244074978437,4.071138211382114,3.91260162601626,4.6138211382113825
0.74,2821.9006211180126,7.945165916030095,3.9254658385093166,3.875776397515528,4.552795031055901
0.75,2763.401606425703,7.924217665944576,3.783132530120482,3.4096385542168677,4.775100401606426
0.76,2889.593625498008,7.9688711572048705,4.087649402390438,3.768924302788845,4.46613545816733
0.77,2884.398406374502,7.967071632544359,3.816733067729084,3.7051792828685257,4.3585657370517925
0.78,2918.909090909091,7.978965226453097,3.9037433155080214,3.3957219251336896,4.566844919786096
0.79,2990.8064516129034,8.003298346276337,4.0,3.4838709677419355,4.574193548387097
0.8,3146.1901408450703,8.05394752071274,3.816901408450704,3.5880281690140845,4.485915492957746
0.81,3094.425,8.03735738433699,3.98,3.435,4.325
0.82,3083.65,8.033869239267503,3.9642857142857144,3.3,4.2785714285714285
0.83,3181.992366412214,8.06526280990435,3.9923664122137406,3.267175572519084,4.419847328244275
0.84,3294.984375,8.10015670489198,3.5625,3.546875,4.515625
0.85,3204.1774193548385,8.072210680985622,3.806451612903226,3.161290322580645,4.290322580645161
0.86,3289.970588235294,8.098633903973347,3.676470588235294,3.1176470588235294,4.323529411764706
0.87,3342.3225806451615,8.114421227730414,4.129032258064516,2.806451612903226,4.290322580645161
0.88,3431.3478260869565,8.140708415186426,3.6956521739130435,3.5217391304347827,3.782608695652174
0.89,3291.2380952380954,8.09901909370959,3.3333333333333335,2.9523809523809526,4.285714285714286
0.9,3939.1811447811447,8.278728149418246,3.1387205387205386,3.3885521885521888,4.387878787878788
0.91,3981.156140350877,8.289327543620498,3.3666666666666667,3.2140350877192985,4.542105263157895
0.92,4035.212389380531,8.302814216092148,3.579646017699115,3.0353982300884956,4.672566371681416
0.93,3994.2957746478874,8.292622565977931,3.6056338028169015,3.0211267605633805,4.309859154929577
0.94,4195.779661016949,8.341834456463653,3.610169491525424,2.6610169491525424,5.220338983050848
0.95,4013.6615384615384,8.297459205537438,3.5538461538461537,3.0,3.876923076923077
0.96,3623.4660194174758,8.195186310671081,2.9611650485436893,2.533980582524272,3.9805825242718447
0.97,4026.237288135593,8.300587543393753,3.593220338983051,2.7288135593220337,3.983050847457627
0.98,3469.7741935483873,8.151844796918143,2.774193548387097,2.096774193548387,3.903225806451613
0.99,4406.173913043478,8.390761998449722,2.869565217391304,2.782608695652174,3.739130434782609
1.0,5241.589858793325,8.564380139462804,3.1367137355584083,3.458921694480103,4.634146341463414
1.01,5506.7756467439785,8.613734548781968,3.377341659232828,3.5165031222123107,4.5985727029438
1.02,5598.463193657984,8.630247409356587,3.741789354473386,3.451868629671574,4.469988674971687
1.03,5581.711281070746,8.627250689553765,4.005736137667304,3.407265774378585,4.418738049713193
1.04,5770.458947368421,8.660506896610809,3.991578947368421,3.5873684210526315,4.223157894736842
1.05,5781.681440443213,8.662449826012363,3.9861495844875345,3.6094182825484764,4.17174515235457
1.06,5943.477211796247,8.690049630274563,4.163538873994638,3.6193029490616624,4.18230563002681
1.07,6000.862573099415,8.699658500060636,4.157894736842105,3.590643274853801,4.245614035087719
1.08,5774.341463414634,8.661179496578661,4.146341463414634,3.3983739837398375,4.154471544715447
1.09,6010.104529616725,8.701197419993099,4.181184668989547,3.5853658536585367,4.128919860627177
1.1,5906.082733812949,8.683738070640047,4.0647482014388485,3.4388489208633093,4.046762589928058
1.11,6005.568181818182,8.700442348159335,4.064935064935065,3.383116883116883,3.9675324675324677
1.12,6044.490039840637,8.706902398835352,4.103585657370518,3.537848605577689,3.9880478087649402
1.13,6193.40243902439,8.731239881714604,4.17479674796748,3.524390243902439,4.0528455284552845
1.14,6354.536231884058,8.75692420407376,4.091787439613527,3.6473429951690823,3.9371980676328504
