carat,price,cut,clarity,color
0.2,365.1666666666667,4.166666666666667,3.8333333333333335,6.166666666666667
0.21,380.22222222222223,3.888888888888889,3.6666666666666665,6.444444444444445
0.22,391.4,3.4,3.6,5.8
0.23,486.14334470989763,3.255972696245734,5.901023890784983,5.51877133105802
0.24,505.18503937007875,3.5551181102362204,5.97244094488189,5.18503937007874
0.25,550.9245283018868,3.6556603773584904,5.85377358490566,5.14622641509434
0.26,550.897233201581,3.8853754940711465,5.723320158102767,4.928853754940712
0.27,574.7596566523605,4.008583690987124,5.7296137339055795,5.047210300429184
0.28,580.1212121212121,3.823232323232323,5.7272727272727275,4.898989898989899
0.29,601.1923076923077,3.776923076923077,5.638461538461539,4.776923076923077
0.3,680.3018433179724,4.088325652841782,4.951612903225806,4.605222734254992
0.31,708.2356602934638,4.217429968875056,4.919964428634949,4.622498888394842
0.32,720.1440217391304,4.327173913043478,4.817934782608695,4.567934782608695
0.33,765.7317073170732,4.357443229604709,5.053826745164003,4.569386038687973
0.34,756.3802197802198,4.304395604395604,4.562637362637362,4.746153846153846
0.35,800.6761619190405,4.302848575712144,4.764617691154423,4.830584707646177
0.36,781.3811188811189,4.318181818181818,4.358391608391608,4.9527972027972025
0.37,816.0710659898477,4.149746192893401,4.50507614213198,4.873096446700508
0.38,904.4417910447761,4.304477611940299,4.7298507462686565,4.722388059701492
0.39,922.3316582914573,4.045226130653266,4.959798994974874,4.474874371859296
0.4,932.7844495765974,3.9591993841416473,4.589684372594303,4.83679753656659
0.41,973.6273516642547,4.125904486251809,4.633863965267728,4.819102749638206
0.42,994.4447592067988,4.296033994334278,4.6076487252124645,4.81586402266289
0.43,995.1926229508197,4.114754098360656,4.44672131147541,4.709016393442623
0.44,1056.622641509434,4.132075471698113,4.669811320754717,4.617924528301887
0.45,1093.3181818181818,3.5727272727272728,4.8545454545454545,4.4
0.46,1237.5337078651685,3.842696629213483,4.865168539325842,4.595505617977528
0.47,1272.3131313131314,3.7474747474747474,4.484848484848484,4.484848484848484
0.48,1322.047619047619,3.634920634920635,4.492063492063492,4.365079365079365
0.49,1306.3333333333333,3.533333333333333,3.888888888888889,4.955555555555556
0.5,1504.4586645468999,3.5659777424483305,4.046899841017488,5.111287758346582
0.51,1624.408163265306,4.015971606033718,4.203194321206744,5.081632653061225
0.52,1655.577723378213,4.208078335373317,4.291309669522644,4.9559363525091795
0.53,1683.5458392101552,4.273624823695346,4.294781382228491,4.8885754583921015
0.54,1703.88,4.3152,4.3296,4.808
0.55,1725.4415322580646,4.350806451612903,4.213709677419355,4.850806451612903
0.56,1831.9979674796748,4.3861788617886175,4.412601626016261,5.016260162601626
0.57,1796.3232558139534,4.248837209302326,4.232558139534884,4.872093023255814
0.58,1798.6483870967743,4.2,4.212903225806452,4.780645161290322
0.59,1831.450354609929,4.056737588652482,4.170212765957447,4.826241134751773
0.6,1949.811403508772,4.0394736842105265,4.1535087719298245,4.982456140350878
0.61,2069.2450980392155,4.0588235294117645,4.544117647058823,4.686274509803922
0.62,1973.3703703703704,3.9925925925925925,4.348148148148148,4.562962962962963
0.63,2244.7843137254904,4.078431372549019,4.53921568627451,4.852941176470588
0.64,2113.5875,3.9125,4.25,4.8625
0.65,2322.6153846153848,3.8923076923076922,4.723076923076923,4.707692307692308
0.66,2235.7291666666665,3.8125,4.375,4.666666666666667
0.67,2067.8541666666665,3.0833333333333335,4.208333333333333,4.375
0.68,2334.32,3.32,4.36,4.64
0.69,2206.6153846153848,3.076923076923077,4.115384615384615,4.153846153846154
0.7,2516.0716809692076,3.4896516910651187,3.795557799091368,4.5487127713276125
0.71,2672.7805255023186,3.82225656877898,3.9234930448222567,4.540185471406492
